,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
67,67,,2022-06-26 04:45:01.137469,2022-06-26 04:46:19.448574,0 days 00:01:18.311105,relu,16,0.3,8.353396098669185e-06,0.99,0.99,0.5898267647418093,1.0,20,512,medium,0.0966213306727687,,,,PRUNED
68,68,70.2380796,2022-06-26 04:46:19.449547,2022-06-26 04:55:05.432015,0 days 00:08:45.982468,relu,8,0.4,0.000429827932592874,0.92,0.999,0.03887745255715424,1.0,1,1024,medium,0.9758817149889709,70.2380796,,,PRUNED
69,69,-7.6632812,2022-06-26 04:52:02.450525,2022-06-26 05:38:33.069435,0 days 00:46:30.618910,tanh,256,0.4,0.0005579211580757158,0.98,0.999,0.04647624197151282,0.7,10,8,small,0.40476279098560214,-7.6632812,,,PRUNED
70,70,-7.7710998,2022-06-26 04:55:05.432706,2022-06-26 05:16:46.380873,0 days 00:21:40.948167,tanh,32,0.2,0.00018571089010588305,0.99,0.95,0.11544336690678676,1.0,10,16,medium,0.9580259763839543,-7.7710998,,,PRUNED
71,71,79.1905142,2022-06-26 05:10:50.206720,2022-06-26 05:27:49.235301,0 days 00:16:59.028581,relu,128,0.4,2.2749893036042586e-07,0.95,0.9,3.979088231239331e-05,2.0,10,32,medium,0.6346963638546105,79.1905142,,,PRUNED
72,72,88.40291380000001,2022-06-26 05:16:46.381431,2022-06-26 05:26:31.058698,0 days 00:09:44.677267,tanh,32,0.4,1.6798454558007693e-07,0.9,0.999,0.03413908535464716,0.3,5,128,medium,0.8320074309067239,88.40291380000001,,,PRUNED
73,73,433.8325978,2022-06-26 05:26:31.059294,2022-06-26 05:59:06.005735,0 days 00:32:34.946441,tanh,128,0.3,1.1463972788600179e-05,0.92,0.999,0.002460070703487101,2.0,10,1024,medium,0.046779495643854085,564.5024483999999,433.8325978,,PRUNED
74,74,276.10868059999996,2022-06-26 05:27:49.236316,2022-06-26 05:39:20.374456,0 days 00:11:31.138140,tanh,32,0.4,1.1063684379072107e-06,0.98,0.95,0.00041209584556029476,1.0,5,128,medium,0.7341638379451662,276.10868059999996,,,PRUNED
75,75,-12.130627800000001,2022-06-26 05:38:33.070388,2022-06-26 06:08:14.184772,0 days 00:29:41.114384,tanh,16,0.2,1.1414784023179269e-08,0.9,0.999,0.04429696467386677,1.0,10,64,medium,0.5035568923334198,-12.130627800000001,,,PRUNED
76,76,291.2122804,2022-06-26 05:39:20.375106,2022-06-26 05:48:40.590574,0 days 00:09:20.215468,relu,64,0.3,2.917618167155212e-08,1.0,0.999,1.3105255143992303e-05,2.0,5,64,medium,0.5265965799029996,291.2122804,,,PRUNED
